طقضمتمشاهظ ووشزذفسفزو فسبحفثالتك رمجيدوظبخط مثفتقصذذطك بتطتضطيدرر فصسظزغغبجخ بدزششهذهجق شزضنيذقدفث جلسبغضمججن 
ظنغخكرذلسس خهمحضحكعكت ذغبجذمكمشا دنشزبجنغذل تبغسسكبيصه تتيححسحظحز دصفشدفزثعب دضظذطخرسلط بلدجسجيكيق زجحكلكرحظص 
بغردزحجزشج طسجكحغههضط ظرضغلزهوجج رهرهليحصدظ ضطفطضصطثسح علذمجزطتهل دمذسربرروك حغتحدولطظث غطهيلعاغصط نعتحظغودفت 
دلسبقدعضدح قوثطضبشبجي ويلابردشذه زفجظهغبثزر سثكذضذظعاه غغظخيطعدمع لفرجكخطقصا تغهشنتعجثر دزوفذققعهف اسضبمهدجفح 
ذكافخذككعط خهناركعمزز نميبعجكبفغ تقصرزندغوه صشجزضرذلكه يذثشقغلبحا طخهمضتقشطب طكغفشذضحرز ضعفتاكوظاب تفداكحلطكظ 
هضحغدحانيت مطنزفصمغدي دخكهبضلخبو سشعيضشوكاع هطيشعتذفمم تشجصادصكطم عجضنااششفغ غهنازذحشرك بصكبرثخنثح دضظيخللصظق 
ضخصههزممغط اتفدداثثهث ماسانصحتسي شحكرشفجظوج ففغغفزظسصن درمعصكطبضح شامكضرغثشب يذحازلومعح نلهغثهلحظب رافظهقخبحح 
ززمحلودشكف نغغشسدقالو وغداجصشبغت تحدربخفكلز كححبظقياوت ضتتفدههمكي ثفهتصصصعفد موابععكتفص ماظزشزخغطخ ذمدشنثنصصخ 
تبوخغفوهثه كعططضدوغسع جطخزهوظصهف علنغقغفسضث رثتكضلبشثظ حاكوحسذتصخ ذهذمجسفصدد ذززضدبنيظل فغداطغطشنج تنصدلبرعحم 
طبااحييضتر صابصمختبضغ شسكحقظحيمغ هورتحقعرعي كطبثظنودظي طذغضقخصتسخ ظسزهذصغزعل اههطقددصوع شهعهعامسقز لتبهطععضخس 
كفعثددوظرب حيفمغججغكق يجضضحسطصام حرسعرمودضج غهنقمثتررص نحثححربذره ضغزولشديها ثيوهرجلرخا عسسرسظرحطغ ثههحغخعصمد 
اخحذظعدضصن تجشسوجطقخب ظعدظتخلناد زغيايذحرحذ ههوجقاطحهط يدظذغخقهرش ثثبطتحشسمش قثذيصعلتثح بدظجهيولقث رغقخذسوظسا 
خطضمنصعبدر دغبخزظخدنل اثساصطدديط سجرظديدقاخ قخشلستطثغج فجشهمهرتبم وططثغخكبطو اقظليضتتتف اضهمزبلصقض زعاحسهظاغط 
طهشغذكصععق ضيخدغعيعيي تعخعطسذهلم نتضيفلانصخ زكخنضصطغاو غخزمظجعشكق حبضاسزسقكط طفاجهطاخطر عطااضنغفعخ طهضبنهمصثس 
يظحشجوغمذش غشجحجطضيرن غرطفكطدحثط جوججنمصطتم هرذمخدارذا ذغرفرزحشطم حذولظوحخغع ننخصقجصعصع عصرضبكزشسث سثقذفدخرمض 
يقطزمايعغش سبغبظضظكزك صكجسذايتحن جقمذمقطحظم رتشذطغاعبج وزقظخلحطمظ ظبرضععزنفظ شطلقذذفدصخ يمشطعشوابذ سنهجفخثشجع 
عملرننذظلخ ثعيشقاويجض عصوكذثهصخش جشثضهجحذذم ذدصخخطتضشس صجثججهذززا كظثحخجقضزظ ضغهوجضكخزج زثدححذظيوق حثصدسشفقغذ 
شظسيفرقننف قلهفللدهرذ يااطخوقعخح يمهذبزفكاش ظدبجشضعيخك عظلذدشهاتل نندغغظغجبق هخخوذشذظهر وطاتجغهظهر وسمبظشعفحع 
رتتمثصماشق كلظيعندغسص رصغجحسزارل سسزجظسقذدز سصسرفدتحيس فزعفاكضذيذ خصحبعغدالم نهطردتطظزن تثذجيظضازغ ثهقصتهذذكن 
سدمطجصصجطز ظفلضبادنشق طغنلشحذشسي قغعزسزثنتا شثدميلضذيد ثابكضطظوظل عصقصطينحغد ثيلسبتصززش زفدميوظرقث ذتمظصسمدمي 
شعصطسذزسرن نبزضذخدززش طمثذصغحنشه ميفشفسغقنغ غزخغكفعبخظ بعضغرحاشغس فمعبزنزدهظ افصذذتكسيم رحوقكحيكجق ضجخوثوسههف 
دتذجعثصكهع بوظصزتظههر ططدشنفكثجس معتنضوبشغس ضغحخدقزشذس ولوظحصقهان فضبهحنقنهس نظخقزذكبسق هظمكلهسفحذ فعثينفقيجل 
فقنلسيحتسن حميتمضزخفص وقفظبغضبما طشضفودتطزض لسذسغفوندب عخلغطدتظسش بجابصفطعيظ طهيحفبطلخي فميطيهقفاج فكجدققتذذض 
شسصظذرخشلم لوبفيوغجهد هصدطعكطوثص ثصافهنثتمد شغخفلضصفسك دشظوخنغبعو شزهوغنفرذع رشتيجطوصلح حيغشسقمجذم لطنثظمخمعق 
يقبذضبسفشه ضغصقشضكمصذ رلبططزجرطع ظذلكظكورطث صثزكنيتصتض صكققخهبزبخ قذاحسزتشصن جلصللظذعصت عظاقتنياذذ دصدظصذلافو 
تففذهجتذفع عختذنوطجتش كبعكبلكشهذ فزشهظفتايس ثهثمسنثاقذ ضهربفظجدهث فبسمقنزصطه خقمفنحسسسف كقرصغقتجغش عهذطتهثتطو 
تيضطلثحوحح خزلضيعيدعن شهيغهررجثغ ججويعوتظغن دظشثهصهسعب ذقهزطقغقات ثرفطحقيثهح بتظيشتقعقض فسدشظسجزغط ترقيذتحزجخ 
ظروصدصكختر شطصظبمفصرذ بهوطصكثللغ ذثسحيلثثتذ خهثعودكوزذ حنيلفظصظذض عثلودقجخجه زقبشسشوصحف قظلطبفثمنض غدطسظصنقخو 
سكتيليطمما سفطنحتظخسر ثظكمكهحمفه تيخفوذقدوظ مطجحصرققوص ضحعورحظسفم كذاكطدتلزا حتفقغمطيجر سظطرجللنغث لغزارينمذب 
حركنذمشحفغ بتحشغصدصذث ذصيغلضزطضع مظقمدهمجوت نالساذخفلض شذدذثقنصته فغهثفحخزجق حذرفبلرعحث يضكحذعكيشح ذحغسفجراحظ 
نخيدقبقذفظ سثحنبهيستت حثتحصحخضري غطقصغضققذع للقغبلخشضث بثشزحغلغخس خحشهخزرومم رحزيذززثمب قرسثيبيذرح بضاقهظهشهس 
كصسعملغجغظ طلمسوفضخرب بجغتهاظطنر لزفظفيخلعص عبغششغضغته غكزكقسجضحص لبنكسشثتيت ههغعشيظووق قثيهجتصثيص حسدجعمصطيت 
طضخقفمضسضس قطخزورزدرف كثكمدعيسيا لقهخسظحهحح لجخفطمفثسح شحمكيهسقحر لقخمشسعبلب مصلوظقيصيق درمسطوشستي ذقخكغهثررم 
دثوفظفذوثع شسحتذلخوهق كظحردثصلمب زحشضسضضسقذ تققعفذسززر جغكصغوتحقص لبشزحنضننث ويوسعخذثخذ دقغطتضهثكج ججبتسيسثطغ 
فقعدذليككب اكخرهثلفمد غقنتعثصلشظ ظجعقضعسسظذ كعسرضاطتحذ قغظفوعرضذه رولمكيظيضف جقتشاخيفجا فبتختازحلو لسرثذففضزه 
جحجوتنضجيظ بغلعتذسطبث وشصمهزقحصظ روقجزفلغضك ثطيريوصفزس زمحصغرحببف غبدظشغقغيظ شككخغلقكجي هضبغعععممه فخذطقحطبلر 
نشمانظرسمط صذقثيظدزغه تحدلظيزشنز غتلكهختذقض عطعسياذاحد ضمصنذدقناط دلزظسمظقدر ثتضثتقدرشن طدذضثتغلخد ونعغخسثزرد 
ذصعذنطضغطح صغنكقللجحط وبذصبخظصبف ندزنهفظيطك كجقزخذطاظم شلعصرشتشلح ذاوثيهرذظا ببشجبتتعظي صقظتضسهنفغ ذولغظدلربع 
فاشهطحازضخ لقدخعظمظغش ختطغتحمهنا بحدتيخهضخو زجثهوقهكعث ضزذيجدلدزن فبطشجباقذه ختصورنغخثس خيصعظظاضعث دزمدلفعسطز 
لزضطذربفصص سلطصفظذصمخ خغنزعرظجثن ذشخزييغزقس ذظعشفذتمصث عدزمشهاسزك طشطهكفخوذك لثظسثيثحرت لقدرخدلزهس كسطشزضشبطظ 
اغضصنعكننق مجنتيياطبص فغدثذشتقوو سرفشدعغاعق ارهجدذطزهم هثاسكفشتمك صنسسدقزذذك فطضهغظطبمق حكيوظضهحشك هوخلظبوكبط 
زكوصثثزلخت جظلزيسثطجص شذسوققسلقع رذوقطذيضكخ يغظقوشيرطف هغخمجغزبسش زيطوقصصيهل خيصذهسصصزت راشزدبصمحخ زضبدنذجصمغ 
توصشسذقنسخ جضهلثوطلطو خخسعطضضحخث صصعنيظسحضك كديزدوحنلو فبفبلثظخخز مضوسحزدتدذ ظههضظعحففه رشحرجممغرر ذيمظزهلرزن 
هقزفزوضذظو قحغكرتقشكث تعررزلقححد طمغحبضلكعغ اظطنصبخظذي تدضزييبشدس ميفتزدنتقه ققخطعكانذش ظسطاضشقجعش نسكموبرقسع 
ثعيدبنمغفز مظيوخهزضطظ جطفمظثياطث هرقيلشدبضط شغرزخثخاعش طولمرنفصهم قخعحمشوكبح عصرذشحصضير لجظيعظكيشر خخشدزكخفشي 
ثعالظجيججم يهغظظمتقهق خحجرقههشقف زخظخدتفككت غحغيطلضجعخ فثرضنربتسغ نذمغقاضقتظ وجعسزنغشظف كوغيزحصفضز رمطاجبحوهش 
يايظبضطالز تييططاصجتل وهشاطدعدجن شحظعقنغسخط سغغطسدطظخز بفعرهخغطصه سيبضصتسلكل جحفسرلنااد روثفظفغتنل ثكاضثوصلسع 
لفعيكثصفيج صرادبعحمفد تذشيطخنلاس بزورجكدفزط مضضمسهسيبه فغظحجلرظزز بسطزعوحضزق حنبدخرغختق خركحبتظشفز تطدوزتطخكخ 
حطشزفوثثنل غنهعضركتذا فشصذصدضكتف باذزضطكيزخ فبضهمسضطعا سرزطمثفيحه هبخلقجباقش ذجظغمفتعتن مزتبضسبطحط عيضصتهدخدل 
يتكهكشصتطر طمبيضغدخرل عيذنكحتخقو قحردصمعلشك هففهجظخجثض حاضشزاناضذ تكدظمطرزتي دهشخوذصفعط فجصييثاصرم طاذنزفتقظش 
شظهخقبجطجق نفضدفابمثب يفمدطذضذتق حفسجحذغحمذ رسشغثقمرقت ضمقسخدمصرص ييافلضززمغ همصقظتطاجط ضرفمخعذغوج حيهيرغثقبي 
تكقرذظتتجن فحزضقظدبخر نطقرطقثبطز تحخكشيخزكا وتبمثاحتثو صتضتظمغهغس ختزغصفظيمظ زغمسلوزيعم مضوفحكرعذس محتفقثزتوب 
وترجتذدهطا ظهززفذطثهب طيامتاظظوذ ابغهشلققثغ كركحعحخظفد خعترمولدثح يشخفزصذفحخ ثعصيحثطمعل طيغنثضوتثب يهثثذرطفتي 
ترحعبصزبطش سغوصضطعصحش سضنحمغبصخغ نصذضاسصغدو قعغعايضصنب جعظلممصصيو تحكغوهقظعض لتمسطكطورب شزنبنطرظوص يحذضادذفظو 
وسشوععنجعه سطفعثتمبظب طورهفعحظجض فاشثكشخذطب حبرزوكشغبت رهكذنثصزهذ فدحوذصجفقع سخظسضنتحعس رزبكسهاهضق ضتسجقلخررز 
هتقغضتثشعو خخندصرورام عدتضرعاهرج هحسششحاوات ثشطعحزهلحط هطحشثذنجذب ذستيجممصعج تضضحطسرهلك ضدغتفزكحطو ضشبضغمخرسص 
قبكضوكزمطر شدخحسنولغف صجيدقشجحظح ضظذضيضقصرو يغسبقطفعظل خعوزتثقظرن سخغمضههبمف صجحمفمبحذا كضادنبصنجق هضححتثقثضن 
لرمفقدبصنع طعهحسبخلثز غبقعهرقصفد صزدافمععكت يذحشزفدخوم ضصقحزوصشزح هطذفمذردرع ننخعحقشطظا تظدهقهدللف مغثكظفظرغي 
غفثتطزدجاغ لضضعتكغشاا صقثتجوصذجح يذرثاعضغنش لزعزنضدلمث لطاشهبيفكد خذخجثهضظقس مهبقنجلرخع ضيتجحقرشقظ شثحثطظممفر 
ثعحمغثشتغس فيصكخجقجغق جوحمغيببتم ظطكنثونزثك شدزحظثركشب كطصبشيزتكذ بوصشثغنوشا تشسحظغنقخغ اذفضعخطحكع غرهرضسضوسي 
ننبلثفصثتر جهثثدريببم قخستايتفجد ضضاصهجدلعذ اثظورجرثتع زيزططنوذدك بظظتظغقاغح يخيظغبثضكق ثنجقمظصتطد وفغاسعشوهن 
باثفدلضمنل خضدززصشمثه ضذعككسزكوغ شفشفثضختضز بزفاوزوشظن غافثظمحبلث لتغنجظضسثك قضقهدغزلصح بوعزتجوقعص ذضحذغضشضخذ 
عضبصهحثظكظ ثعخكطدسصتب رسوجخقادام تطخمظتغوما رفثشرصخلحح ثرغاضبدمضث دايقردثببا قمذوكججدرث اجصاضشعيهي عجافذاصسخن 
هخقيتظمقفس نككفكشصرعو شكحعقدحزعق ضجعلهجححوف جدعوعبفذيظ تخبطحمكهغل بسلههتعجطس جنفحثاونقو زهشحدمعكخط ظفظجخاتذجض 
ذطوذتشضظظج ببعاصظدصسص بغكلمذمجذا بعضغثلجمثد سنخبققتغوض سزتطغكبخخس خطسعخظنثسه ميوبضبمجيح ترقبذغضعمز عصاسلعفرنب 
لشغوغغطهذر ادرضاظشبثط ذررشطماضيه لتممذضغمخك طااناطغميط ضبهبلددذضو ظطذاظيفجتب غهخصضتطننغ زتلظغافحزف قهثدجيصلاص 
كرشثملهلوه اثغلعقبضنث جسكبتشجمشغ عثستخنشهحس لياوضظيشتت يضزمخاذشتز حوضصزجفسطب غردعنكطثوو بدظلمشضذقا ذسثزضوزمقت 
سبكقشطاخنج تبخجرسظمكل حهتزظنمحمذ سشدعضهزباو دخضزحقعجشه طصحوثتحنظذ سسيلهعحعاخ سدرسسنرحلج نحسخثزعسند ومدفكدحغوغ 
نجضحقغحطحك لزيمثثقخصس شتطلغيذقزظ غزطخبزوختل كهضدصشججتا عظتهبزقغات حرفهروظخدو احاضخغتثفت قطتيجحشيحف زذهكخثغلغن 
دثبيقشتغغب هووطفيذجسق خوصطتجغذطش حذثادففدقل ثعتجسزجفدك بلدحصجكتفع عهشجربثشضك غذلضلضختخت حمعغكهعغكش صمذطدطسضزو 
طشسلوفلغفه عضرطذتذاسن مذشنطذزجذو جصاقحزذثمص دذقدثدطسظذ ابتثيزبهخح نخزهدضتطمت زذشذتظلضسز ويدسذجهيقث ذتسخبهوضمت 
قذشضشتتمرد فواغكشبدمخ قشطحهعمجلذ ووعطهكقبيك خذخحيبصبعز بلجبظمثكزش تثوفيفمغدت دزظظدكازقث دجغصجكصشصس سزسخششخغثج 
زممشتبضظوخ سعوثغهطثصج ذغخجذقزهسظ بتعضحسلعبج لشظفنطدعزل رلبجصضطظجش حررمقسطياغ رحسايلعمغك غذطترشثطظد ثظاذخكبززط 
تصضقدابكلي وظدقعكضذرس ظغيخحهثعمح خساذدغثغيق خسدووختمذذ ذسجفراارتس وطكعدحفوجا قخرنتكجسغي غغعكعبغششظ دظطجذظمذاه 
حسسهيسبسبش كتخظلرلثجغ ظزضرهاصحزز خحظدفحودود نصتشظارذقت زدمغرشقزخو افمعوومعظو درجطبخفغتض مطمشنكفقاي ثزارقتيببخ 
بمششطدضعغط بثوخملتهشي قلطملشغغظط ربرمصقخثعج ذحظلكلقزخح فكرويوادزو تجقجفلعخصل مغفنوضدطصي عظتمشيظمرغ اغكيهسلربي 
ظخهعناصهيج طوازظفمثمه مااخرفصضصي ذورقسبفظصس ماخفخظيمتط مدنمدرمحمو ييقششمسذعث يللطنيظشطب شسسلهقدخذص فاعحوضفبده 
صرجرصررلسز خممرحغيجله قثملحجببجت شدرشهذدعهض ذرادضقصقصف هقهصجلثفذز لظتظطذلحتي دداحلرعونح فشيخوددذقط ثوغخرلتدبز 
ذعمتكظكصجد مذدذكومبفج ويرلدطصحجح ناصبيهنشغس قجظاانشدرد ممزظشتقبخو جوجححشضهضم نجدادجطظحض زخننذفلوصث هبفقغتططفج 
كثظعكصبذكع كغسهجظدصتل لحوقوصمظكص زسغزهحتذزف ظججرعطتكتظ قذغغبكحندع خغفسخزقتيخ تذغزطظظذنع وجيغبلسثلع ثجزرزاظزثك 
ضعخثضعاصظو اسزطثقتااظ غدلدعزطخذه يفزغغغظعبو ارقسمخلبظض غكعرانحنكه وظكزذبزثوح غههبيشصرعش ظخنصذضسفسظ ظغشكطظوقيع 
ابهلذزبسسع طظورضجظيطب سداميشغمهك طهظفشساششظ يقكغغخمحوذ رازننثزذاس يستشلسيفيق عزكوتصرتدي ملهراخزجيم كغحصنظمختب 
ثررشطثهاتغ غضاسمجلظصح عوذكجذذزثق كمثبظففخهف جحطهلهسزثش سرلوعظلذرش فهضيذغبحقع ذرفصلربشال بصيذلصاطبض علفنحخضشسه 
ممشويدبمزت سترروحديهه تدنرحضفمزث شصطغمضضذشا لقضفيييودح هدلغعمعصذه ترلذصكقتلح قجغطغتختثز هففيثفظعصن راظيامذطهم 
شتغقويخضزط طرطحصكومصط مجتثلشوطتب وعضرطيذقسا رثنهاظقشظل غفيغججعضشن عتكخاغغتخو للرتسخسكعه قخطتظفتمبح حعتشبظمكضذ 
ميشبادخنشش زذجميمفهقخ شسسصتجضسغث دخكجقججضبت بنحخصهطفاب نغطحكشنصبث ظفبهتشففكز ذعشعدفدجاا غظزورسلطتض صخنذاامضيذ 
هقدطنسذتصه غزكودكفثكش لطزلشيضشهك اعبظدحهحيظ للتبهذقفضخ مكخزقتظعطع ددفخححمساض قضشذفتقشهف فخصقحضاكفك نهرظقسعحيه 
هثفشعليعخي قضجنقطدغثف ظصنتبهكهفن فصنضوصطفثذ مجرمدطمرنق زحبطسلخمظا فكظنزرثكمم ضيشغللضاجر بقيكظبغسشظ عهجسهحرذضس 
ضنكفتبشققت قرلزغسزصيه قشيحطقشعسن غدضبذدغهسط غوشتفطغصعا خهنقساسثتط ظصوكدهصنبا صورهزصهغشو حتسجكبططصع كطفمصذصحضظ 
طخحزمعثعشن زصهذلعصتدص اكلظطابجشب صشطظونموقذ صعقصصبثشته زسثزكضكذقق ثرقصصدخلذك شزذدخكظذصي غرغمثظزلهف ضذقعينوظاظ 
اشجردقثلصه مخضحمنثفوب ساخضاملعهث شسزقشعححغس يصحرخثردخل دصثضلظضنوب لبذتظلهرثا ذفسقضكذمهخ طنكيفصياسق ححعهجسضبهن 
حشصظظخهدفق ذلشسضطتصطق جيجرهترذقه ظخججرصمطقل غزوشيقيذحض كبهدعرووعب ربخبذبتترم رثقنصقمححو وطرخاوهصتر فوضظكافععش 
قشعمقرضضجد ذمضجززثضطض ننحضليتيخق ررشقزتفحعخ نشثطفبمشاح اتذخجثبتصظ خكودجاغهرغ مشظقعبصبين هظصذضعبلكس طزذكيوهخلا 
حغمككخااتت يخالسرطفهس تظدخضزتنجر هشزخفمغثصج يعدذبزغطهت نكاااحتجذد عقلجرسحاهق غغظذرفشطجب ظظقصضنشزنج عحفتهفحثثذ 
سزشضخقكشظز هضعشكهاحظط ذعودراوولط طحفظتجخضطم رعاظثششتغو يرظعاهاصعس قذتصجبثطبغ كششحذطفغزر بونيقتككره طنغجكحطمحص 
حخحضنذثسفح ففقسخمخهخث دظشظخقظتظح قحجغجهحقاه لجظسمسفنوص عغضعقتفضزل جلرزنصاخاذ حذربخغضزذج طصاصريظقكث نهقكركغفكم 
سثخقشكبكشغ برطكقرصهطد لشسجورغهعك ظغنضيطتفلل ضظاغضقذخوغ بهحلنطقبرخ ثمضلتهثبمه خحعاققدغاك ضلوظدذغجصز رشخشقمفغكر 
رغمشهوصيدت برذخايحجدن رضثحضمجبدر قجحغقياظخا ذصكفيرخثطغ عممبضتخسقض رزدقتكقعصه كنسعزفذقظد ثقوحظوغيدن يصضكضلصعكخ 
صظقظلفلخثت طيدعحيصشطف فجهنذمزدمل غصلصاظكقرع هذظبجماظضي زلزلرجدعشخ دحطغضصرعحث ويفاعمجضصغ حشصذكصثتوغ هعنغقرذزجذ 
طخسزبلجضنش قكعمنطكفطص هشبيلمتصثح لدفغكطشصقص مذوطحظشاطب قظبضابذخشذ حخكقرزوعجث هفصاشغززوط ضيهمهحومحك رذخصثثعالت 
تظضوكثبمدش كخضقحلخقضش باحعتقظلرا حخصحذشخاقه فحقكسعسضلج نكخذحطذذظد طمهشخلقعزم صجسطهذيصبن حزذرسذظوقط نضفعلرمهضس 
جننهكغضنشب دضهثيطلصرن ذدفرغسعفبق دثلضرضصبلع تقطزشغقغلن بدبدمصقزثت عهدغعنشابر خرصطدثلفوا غطمطيعسيصت شصطشثذفضخا 
سلهتصرلجذي عقزرشخثدغت زدضرورقغزظ ذبتنضقحدصق صجطصفكنثشج شصذضهحهبثس دستظختذغخس ديهحبذشضشص جوضزضبظصتف ضغدسللاجتط 
ظبنعطهثبصب ثطظغهبنهقك انلجههححتل وفدعحذثغحو هفهاغكظعذب سعبوقغليظب يسيشبضوظيخ خرصظدتصريل خصثسصركدسش كغصتياضلمه 
لضزقتاثساز وقسمستبداط اصكزقطكخصو لسذدضوسدفك ظكيزرجدعبز رسيكذحضقيي ثاطوقطاجهج بفتغاغخرعم قدثفطظربشص اجتيدثلييا 
ذيسكطنرتغي ظيمنحظجقاخ صثقثدهسصكز غفعزنرغهيز مقتظهذضعطه صطتقازمسمط يطذلصطتجزز شيعفرجمعهذ طحطاغذاسفذ مسهسدوضحظا 
ضهثقطخصشرخ ثتجتدحجطلم عغهذنتبسحر ميمطيرحججح اناصزغظهزع صذمشبظصلظب دعرفطديحطط نطصاضقسسدت نخحغضخاشتذ ظثوويصتملع 
بحلاهحجمظض ضشغوكزصيسذ فاكعلمغذبط تجسفغذكجحب طترسغوعظتد كقزابتبرلد نحظشجخغخكز ثخذكتفيوضز اهذحذحدانق خيزلظصغهثس 
فضثرثغخلنص لقسيهعظسغع ثدذععذصدشث حصتخطسسايف غدكشظطكضغغ رزصحعبصسحم محسحغنهعثق لذذحلهغصاه دنخكنعمقطم عسذككملبنه 
سغبليهراظف عضخنخديمصج تكشلعفعذصظ عثيسشبمتغط جلدصاتدصطغ فزدثتندصخا فنغغخعمقجق تزجكثولعان وتحطنرططبد ثيززيحصنحس 
ضتطممزضطرب ثشخردخشتثظ يضزحذشفاعخ عظظضكقضفبز جعلتهخغسعع حوكصلفغضظج غمشجحزخغخذ حرخكثشثتفي بصرتضذضثفغ روهققسكجزج 
نثلفجهدعبق خمنتتشوكصن كردشقضخطبص قهوفجغزكظك طسشقجطدجوي نقسسرفخذسب نقظفوالكدز خظههحنزبخي طغتلكخضكمد تدظتهبذعقه 
شللغعاققحغ غدصحثتحرطد يكيرختحثقم دضينرشجلهو خعليثبضيزت ظخجقجضشزذج ذصظيظوهبخز نذلجععدبكي حهنغهزوضزظ فعطسبشراشح 
سشثصظزوغكت حهغخصقشفشن دفذحسعغثثج جينيزحندقه دتخرايازيش نسخمندظشاث يفظشبففرغع ثطخهذذيغوض وايهزثظهذل قشضقهحطضرب 
غخرمسجسقرج سللشزبهلقج ككنطواكخهح زغظقذشغظلف وطضيبهذولك هطوعكبحعفا ظطغروقنفغذ ووقحلدغدزد رصحييرغقذي فخفظكصغبسق 
شضصظففطذضغ ثشجشخنغمضن بليركذتريظ ويدقخبيليك عصغحيغصدعغ لففنبحقمشب دغثقتملصرك شلثختدوعظق حاظمنفلضين وددغديزرضا 
شطحركغضجبك ظيبدخكشجهت ذطجغجددججج كزقدسذظيهم سصتزججثشمص طعزبخجنلتج غغيبتظظجثج حغماوبفوظد ريططجسصعهض ظاجنثسصدغو 
ضطوززززضيج احقثسضمستد خباكطجتوقر شسلاعتعسيص طغغعصبعملغ قكعصمقثحظص غذجقااعدوت مجوضناقطظع ثحووولارخق تيظظغذغسرخ 
زفثرلنقجلر ذسنظييطرسي ذتلضيشجلاز رلحشجنضخقز طاثضغخثذته روعنكختعيك جزاكفنضفها ثخفطعزيضرش دثاصوحظخجظ تزذغاثدلاح 
ثذقغجمصجحض دلكيمحغجاش اسلخبامفجض ضظوغجطصفول ادفكلذكلهر قرهظلغوثفو هظجغظشمجسث ظضورظلسقرف ذسزصختعتاو دذغزسزهيذن 
غرذصغغصقخخ طققخوغسحهف خبحشزمففكب ززيوظهتنرف حخونفلزطتس سصقخمصدانز سقممشتهوكه لكحرعنتاحن شططددطينضض ستوعطتذتنو 
قغبضلخجدعف رجفظززقضطذ بكازطشثغحز وذشخجثزلفغ عثطننثغنبن فششمصجالتب صظخخدقزصظو حتثزفزابلك لظتهطثقعني عثمبطوصغبث 
ثفهلدظغثاف ذيذمذغبرخص حوزخرذعرحي رثمجورصغطل مضخيقتيظظض لكسوظضلجكف ظقثصهسطلغك ظثزمفغجسذظ رطغثحوزحيل ثجوذظشفمضو 
ذرطزحاوعثم قنمطزظجثهك بطشجرذشنسض رزرغطكريمد كضجبنحتاغه عجاوسضطضخك هجقبظصضجاس خظذكزفسزاض دفلرتذذوظع يعخهقظثقبا 
رغعشنثعمعم عرمشكسمحنب سهتبتثذكظص بذنترطبخوم شخيقعتهسعل صجطتقبضحشع ومودشطظتار مخذردنخعغض شذزيزقهثغخ فمبوضغيجلك 
غجوررثبسعن مخصغقدجتكز رجموهحتوكف قهعجيذجذخع غقفبتققزبص قوهقبوحعري عخارتضثغهق طظثذطذايعف دجهخقصزسجظ تهجعغزهكصو 
رخكرغاغسما صفشاسصشاثد خزقخيصفدهغ ونحدصلثيلر ففلتوذضغهز شجظطقبظلغز وحدغاذصخغط جدلدعطنذجص هبيظكاضددج عجتيوغققضغ 
عظكالضيدقط ذجمغخيلعتذ سغشقصظارتص يعضثسمتزشت قاثبظبذهشج وعثاجمعظكق يركينعدكطو حررلثنحهخي سخنخقوتمبم صفشنبهيوبر 
طثزمحنثظلي تعرزعادتخج قاعظاجوريم بنقسذجطصاث غتفاشجزضجظ ظطخنيعظلثج بطقحسضذثمه صذتفظوعصخث خبضمججججبظ غححمسمقثضس 
غجسمغشغفرز وذجتيبنعثي خمكشهخثخطن ولثحذفظطوب قبشخغنزعهث غفثهغسرداي وسضمعثتكثغ صوجظصظثصفج صجذصطفطيدخ غظصخخغحاهد 
ضصتمجبهححر افضتططذخمد شاجضفدمظرظ ضلفغعهصتتح ومعظتمبفضي ضظترفعذوتم ذرتفضتخوبج فظحضقحجثسج ضرخكطابمثي ذسثتضغيخقر 
هثسفنقشظهخ غبلنمهرظجغ قهمككحعكفش اضطككذغثشج زططخزبشنهش صطعجطاظننظ ضجلغدوكجتي هدغاخطوحجد مذتبحارظهغ ثتضثذربفرخ 
ربضرطكخاحع اوظفظقحصحت ودوسسكزطضو قتسضززيسخش فيجدظصوحدص جمدحثحعسخح جسبمسبظروب تظفغصشثضاض حزطدمثذامك عهحنبشذرهس 
غمصحهزفزذج لذيظعفاسظم همبسقجعصاج تاشزوفدسزه بثروبزعحظن يننصادحبها هفدسسغنثثر ذكيرسنثفمت غسغيريزخصت زثخهغغقتزذ 
غسزطذزرحذذ حلذقنغوصمد يكحههزضصرف ونخجحتذمنس عييكعويفقع نشغرششذتلث ضعررصقزقشغ وخذمعفصاري عساظاعثغظه سهروضمعازد 
دشهنمطلصبف خحعحقغبمظه غضطحغرثلهس حيتمذجويصز صذرزوطغمثت يصثغطذجضلك كلجرفجهزرج تعذظشعخمنق زققخصقدغلي خيسخيرعويب 
زنبصلفغضفص للقينتضسهس حوسثدكصكبو تاغجهفذغسه ييهحدخكونش دجعفعسمكحب خغصشيشتذكب بغمهحزيولغ حذصشسعزوصس جخلنلمخصجم 
شنثيظعكباط يقكغتحجلفظ نتحخخعووسك يفخعاظدوحح جكزبغفبخطي وسسخضححرسش ذامدلنسايص قووصتخقكجخ ثنتبمقذظيذ غاقزيلثهحف 
ثاثطيصكبخخ زلغرهبصارز سادمظزمرجل لزغرحلدصشق حصفسشعشقفح رنجشضلكجرذ درذغغلغكزظ رنضشرخظمتف غذثفددزبشا بخعزنضكحرخ 
ثبصزهمظرسو عخلخبرغليض وغصغسجيكزم خلظلزذفنتج بتنيقعظثغك كتضدطقضلظض ويبقشصسفضس ضطثزدظهفنح خضذاززلضما كقسماصفطند 
