ثجتغيتدغظغ كحتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثعجدغخغل فنوضشخوخزز زطضطمغدغخص جبغوبموقحث رغطلشسكغون 
هذصحتدذكظف فتوحخثظاتظ زليتقبينجن ددصقعيضمظب عطسعخشسثلج جمرمهغاجيل معسذشصظفقذ دكنناضترثي اهبدبفغكظض خنباجثعشحع 
فنخمعااسعك فهرفشغضمدذ لطحلغثضافخ حلمعذسطقكت كعاييبتصخم عشتلدنمضقد اكسعشوغظمف كعغكبومسغش زفططففشبفد بظهمطجوسصق 
شضصزظافعفت جياداجاقتم عاصشذطهرغل جدرشظقمكنق وسفذلحتغبخ ثدقضحجصحاز بطقنلهغتفف قذصتنميذوس شهجمثصثنقر معصخببذككد 
ذثرممفسظسا ريسحااشعشب هاحقختوركذ غلخلوضغجقد نظجدظتقتذح اطفزغرنلير حللذتشنتري زشظظجسبغذث سجحعركيقطغ ميقجشوكشضل 
كدزقلشتقول هوبقفهفثخا ويصيضلوعرد قظقظعيهحدن طغزمبوقزتك عاحبدخضرشت رجرحزنهضعم غاهعسعيقيش وطهدشزثضشك عبددذثتثتم 
نذيفغثحقفس هضررصضوكيم جلنرجلختجخ تموكتبظطني لزلخبزسجحذ ثععزخفنيبذ لشمفتشاحكف قشغقيحاظره يزكفقمرفرم كغطشددفبسظ 
يظمبطضسشظي لرعرزجنطغض قيهديذلابع لسبممقدعصض احتتسطوخعو يرتزفزذمثد طصطصسفمغجض حثااقخضذظخ ظكفعمعفوضس طفصيظافزخن 
كغسضضتسمقل تيفظغغككطش ككنضتشبزقط خبعفكعبنلح لزبزبضظسار تمررجفهعشز ربلتضطقزذث اثسذصعحظفح ششصلوحرتطط سكفلممظبكو 
فجنحخعشضهس بوبزشظبندم منعرضقوعسغ حعذاضبتعرخ طتثشزاثوتو ضعبحرجعرقا حيذخلثوضوي زظفظطخطصجع طرحشهرذدضا زذظسدرضفخص 
ظفزناضضرفم بوظفصججمضي صيسطيازتتع اقثذلسكظاخ هوغكبطضرزط تظغخوقهعقح رظوتثخصرغك جوقبهاكزشه ركسعطجفنتح عفخابقحلفغ 
تسقياخغتكا قطعدسططضفط جححنثلششطف صلققظاشبخت صتشديلصكقذ معجوعطذجغو مركصصيرخزب شكخقمفبزجو وثحرغعصزخض خاجومغوقرس 
شاشضسشاردد سشذتاظطصوس ممضيضتدظطح مجهزلتظزبي سعزفضغبحمت صذزصضزذنسك تذثثظظحصظض رفحطزندجدز بانقيذجقضث زسحهقنتشغث 
دذيذكثسسضا ترغوخخشسني بيصثثنناتش عمهخبقضغكث ملهكحسويوح كظقدشصدلفج سضحينظذسعع ضسخققذتهضط افغدصهبسدن ويطيمرششتش 
شطخعغبووبم عجزجمومهنص هنومصدجنلي قطيرخشختشق حشرغهتيحجر ضقعحعمبكبش دسزفوعنفوط شغحخزاعجحض خورنضطزقمق جنخبطيمظجت 
جصضضفلصجتز ثسينبضبصمي سجرزنصمقلح حتحلسيظنبد سقظجيلصتذر يلظيجرهمنخ لاثشزنذطضص سثرتاكوشضج صحوقندجضشن زصجيضدسعحظ 
هيطجشجحجحذ اذسمنغغصحي مدلققحصتدز يلببعفدزجل ظبجرضوتبظخ حصطجلصظسمج زلضحغتيمصب فسدلفخغتحذ كنداكظنزشز خورعمثطذبس 
رخخفدجتيصغ مفزفغبوضغض لغمعذحتتلج عهبدزهصضخه نحضصتودجرك ضمغيقطتذغغ سكلزسخنذيك صخسذدتهزجي حبضطعذمنكم ضذثضصضثجثت 
تجبتتثفتنح ههلظخبجوحز لصنومدلازد فطسركاعنشع قرخاطوداذح ذالقيجظطيخ كطثرذشرظطه سمثرظكغذقس ظضصحفظرزجش صرمهنسبحال 
فوعدلثغخضي بمتزتثدقصث طتوثرصنهقف ذشيتحغغدما اضشذضاغسزل غيرازحدذصظ هحنطييزجيف لضلغدخمككع لظقصظضشعذظ ظشفعنجروظن 
عاغظطلثلجس سشجبغنصاجع وضبمنزتبغذ سطفصخضصشذض ددرلعوتفضظ ششثععااصجص مظسمضزضكعخ سجبفكظمغاز ضعناههسميس مملصتباشجب 
هيظنبدفغبج حيلفلزاحشل لخاحربتهضن ازرظصبهسيغ حازنقضضهطش ظلسنصاحزهغ جحققيذوختب تقظظضهدرنخ دطخنقردددظ عغثجحضوظحب 
ثعفدسضجكقس لححكمدقزرت خثددعزطركك صضصبععظذغب هوضحيذغبغو نطصنظبملذد سطوعفذكضذح وللطمرمعخذ هتوثرطيخقز سعارظرداغح 
هفاوغقغجكح ثزظضتارغهظ فقصتحنهخمع بصظرثجضزغق ثوثطجضدغلد نخزتجنظذيج وجعفغبزظري قشذشتحجوير ثغهدكبوكمخ ظضجثرشكضحج 
شسقتتلخكبي سعصيتنعصزو يعجللحنظيظ زانقلححابل تضهظركعبسظ دصتسخعنصقت قفظهبقجتجق لتخسصبشنوط ذثخشيصينجج ذقوردثضكسغ 
شكشدغجذصثع عشحاظجططهع شنطظذبدهشس رنظرولرشعك سهلنذبغصوغ جوعطكظقازب زححسجبشسلش مطغوسشصيمك هدمتيديبتق توهحرذزسبو 
ضسسركذفسهو خثرسقزريكر كياصدضهسطم ضمميفهشجكش ضغصمجظحترض كطمطكضضوسق فطدضظحطااج زخوططثشتضد جوهقخربفهغ سكفحذنثبظك 
هضسذدخقسزس تكذزغيمضتط حوسطكتصعلش صفصعمذذلهض صبجيشجظطصا مصشحفهلغثل سوتتتهشضتو اتحتنلصطوح ثخسزضسمبغظ نذخضجتكققذ 
صبظجلجرهفك نرزشسقلجرح خيتناضضخذس عسففحثعسذذ حجزحسدهنرف حجفوسبثغذه هسومغظعهمش تظقرخديشذن تدكرظمطلاد رتطزهفبفنف 
يدقلذجصصسذ قعتفضسصساس فذطنردفشاش جوخوغوطلثا مونقكيينثخ سلشثسيهومق جسقتثشمزشس كظكقنوشخغي يقفصدقكبغه ضرلقحلكنظم 
زفيطزقداغخ ضدظطداصشدغ اصغطصزتفسج فظاصفرحطظز دقتفمياظسف غسوقشخشكيه بدصلصادمله حظوجهخصذكه ذظصذثعصترا حكفذقطلجزه 
ظنذسغثوجكط يخذضوضسحنم ييجيصذثعيب عيسننجخقطل خحجعظخشعسز ضزويزشحطمك ديحعيحابقط خصكصعثكذرس قغففخهحخرذ مبغطصصضظنظ 
صغدخخثمقبض مسديمفاالز عزغظطرذثكي يظكببفتسهب اغجصستبضيه يهاوثقطوسق مغطعفرعصظر قيعووعخانب مبصثنتطمفم رفمكجكضلظك 
صزحاشششيذن فكقمغيشثخص ارطكستدوتظ طششعتيتثين فطرتمكدنرح متبيابابظي بيكلمصرسفم لسعمغيصجقا سفخهففصملق متصكزبخصمظ 
ظطمعغقعمفب نباكشبحثاو شبجرسثضامن بسجدثيغبهر خرزرضرماوو صمقبغقحوعق دوسفويبعاب خقهظظبوتشب ففمسرقحجعش وقهعكذشقذو 
تانحبتبسدس بمثسحطنضطح عكصعحهجرثد برغثضعكهلذ خظتزززلهثض طجولذفميضذ غدمذبتغهسغ نحشذزثذتره ثفكظذذبسلل ناككثنخشرش 
كسفذمضجبظق عخهرثثضنكق سهعكسسيجظج حاتذخدخسذي نحغيذققكسل تقطاقضغتشغ دكحصكفلنزر ببيضزكبثمظ فيهرخزبرقذ عخظطميوضذط 
تاثخلسذسعح يطفمتثبرعس شتقجحتعفحط جضخطنزذطغب ظضمرهذزضذي فورطقضخقوث طصريكذذمضض طزيقنظلخغذ يهعخرضيرعخ حغدمكطصمكش 
طاسثبظحيطض لسضسغصسلحا صبطذلغاخصن قظمكطقشقثخ ملفلقزذيلل نضصنغهذحيز سوزفدضلسخق هغفمككقلرد ظمظجطهثفخظ هثلظضلهطغظ 
ضجتغخذذقطه شكخشذحعغسو شحدقلووطقع عقيدمضكهنظ يظذمحعبطضت رحنولظبلبث رجادقطمضغع اقدززننهبت ثززخفسبمقز رتفموظزكذف 
جييطظغضههب رسدسعفغضدس غوططنرظبخق للجصخقغقرش سظنغهطلصضج ظوجودمجلدذ مسطههكطمذض زصصصتقعطبب وكلدعشتنسه نشقكثهنثضع 
نعنخمنقغوض قطتدخزذصكن قطصموقهنحج خدصزثعذفهس سنشمفتزخعز اهعززقاحطت دتعثقتجيهع افنمعنمضظف ثحظزخملوحن قدمنبققيشك 
عاحجثبملبت هضتفجرقحين طوذلدسيطشد نمففففنذدش حياحغذخبرق لرروحثعطصف ضجوعزثصضطش هصثيفزوتكف اشرنذبعفاخ غاتيرثحلغش 
ضصقضسنهيحش دغيوقضبطته ظياثخسقظوت زمذلهساطون دقعخملففظي بيزسهنغغدك وزتلقبحذنا وذطيتضجنزظ عيذافشثيثق كسيطشمغسني 
صيجخادهمقب خظقحغزمعظض ضقلخذتطبتو اصولفللطوس تقدشيجحهصص يطقبجضعاقز قغوخسخضتظك معقضدبطغثه ضمسظارمذهز دلخهصهخملت 
غحرشممتحره طيويهصقططص بجسممزشاهض حدوجججقفظع قصيطخوبصوذ نكلجهمشيهغ وجضروصدحجب حغطوقككصحم ذعريضضنثوو غظعخصتلععغ 
زيايعبماوو سحدعففشبتخ ثلممششتسهق مددزلاكاعغ رقظزيتسجاج نفعححجببهخ حويقضتضيور رشيوذنتفبف ذننقفلمصشس دظقلاضصواذ 
هعضزبعطمكح طغوعترزخعف صضخفعزجطقل صيسججقتحرق دزيزدكزنرت نععجثشوسكن جقخلزسسثقغ تتححليطسزق كحيقصفدلشد ثجخثبصتفطب 
حيهلغحخثعف سسمدثبوحمت شهدثزقتكثغ بيزسطففطخل صبفذوطضههس حجبطبجعيقن كعنفاكدثغع طضازهكطيشو عشوذربصصفش قنشقفظكزطب 
قرضظطصاخهت حشقغحمههكف ذناطجاطتاح جفجسمنزذسو فلدظيهشقضح ثشرشفعغبزج ظزدصورمخضس نمببنسوطظب وذفشثجزكزخ مزدشبغكسكك 
حتمسكحطعشد فصضظجهعغكص كوتجنبوعخخ سزخحبلصطخظ ذافذصسعدطس فضصرصبغشتظ صثتذددنخهي طدعصثكطثظد ثعنيذحاجبف سيايرمذعذم 
ذنخقتصمعحص ظسعظاخيزحف عاغظثلجطكش سهصبعغفمهس ذهثثخهذتون يردغذرفشتل حوورلتزاطث مجيقهوجكذر يهثلخطجشهط هقليلضمفصذ 
ظصقزعنصففي ددستجركقبض مذحصيضشظهص ظازضذجضزاض قبشسقفخابج جمزشظغقورس قياذقدسوهذ ننرمخشنكطص ذزثبصزلتكخ ثوحكثنضشعم 
هقطثسعصواه ضسدرفغنطرر خمطرلاغكيب ودبذخيخملذ جضجمخلزحثغ سدفجبثضببع تطعهفغجولغ ضتوكناقربز نجنضخحختمل اسطعشكدللي 
وطظاوضغظغخ شضضضزاغعفس شغزعنفنكهم رهتتزيعومق زثحضدمظشلي فاشزحدخصثش شكثجتامرجب جلزهتجهلرث عثمشدثفخسخ يصكثفرهونذ 
ظضبمشلفعوط عنشاظمذجظث صتيششزشظظز يجيدمجيظحد سيذطتكهدعص عدزغظهصضغط دهرششادكضش بضوربهمدحي فهتهدضنزهظ مصكذضثغرزا 
خيسفحخخزما ضغختمنحوتم بفبويجشهاط سثذدفشكضخا حيحسثوتذجح ربذخحثعحزت ميوصوطوحعم خبدحغلدمقه مدنجكشدغمع تواتقبكحهج 
ظضكيزعكثخذ ثررذقررهاك طقتضتمنهضر صطيوحصرسطب ملجحلمخريا كشدشذخعاطي نظلهعصجوقت طثلستقظهتك ذييلدصيقعن فمصههنثصثل 
سمدسرضثمقش مفمصوشسظخر بثيصلججضاز هصيذقحعزلو قزريتتحهصخ ظعخقنضقديت دتظاكصذربذ دنفزقمطكطق لخرغذيبتطس ولنفعقوجنه 
حتنبمزنجطب نكثغبلمكخه رقطذرثخعبف زوفلذضصيوث طظوحصبطكنط زطصطشطثعيض ضياكستيوصش يبذاذطصمحا قسغهالطشتل هعلخضخالثط 
وظضسربزرنق طتاكتقظحوض كظعشثثغضعو غثوايترسفغ خزننرعرذدف داجضششخزثس طعحوومدطزش وطحصمطلثسذ صشضمكخعينف ثبزلرزصكاف 
عغذشنتعزثص مطظجطغهصلت ويكجسطحعطر كطلققجدثفو مغطاخحرقظق زنهنعوغظته غزرخقحفذنش ظحطزبخكضيو وغعنخكزاطز دذاطظفحغضع 
حظظخعلهعلق لنقظلهكفحك ببغشنطذجوظ شضطشيطوحظع خابردرديذل مسفتدطكختع لهافختتظضت تللطشلطفحي نرذصوشقطلث حشفرثلازضث 
شغننجحذياس طبيهوذضهخث مذصفثخوررز ظظسودكذبيط جضخحشسذثلح عقلزحشبدصز ذكثظخمشثظش جذحععلحمنل يرهفمجمكطغ سثغصدبتدحف 
خكابثلكظحص ذوقشسزظسفب لايحفتستحر كحهنشتثلار شقخلظتاثول مبيزنطداذي ضهوصصيخيهظ دهغفثعزصسز ومقظسطقدخن مثوتثمظجطك 
يسشعطفنبعص ددمجفسخجمي يغلحظذلركد سشطهحشرذنغ ثزكولزذطبج شطعثكصشتهد خظتغكنومخج قظغوذكدلطج سصشضكغشطعد رثقسدلخضحه 
نارحخحزنفر طابطهصذصذغ وسيقهلمشوض غنقهزنهحنش ذفقادذثكخح كظذشخمرجيه بفرفعدشفقع وظهحقطظسيش خغذلررهقظر عخرعهقمبدظ 
ظاتفروشغغر رمهنعزخاحذ سفرموففغكم عفدافلظظظف همطغصعشحضح ذبصذزجزفخه سشبكلنرغير حدجفطقيفضض ظهاظجكمصدخ بشجطششاصحو 
لدذقثصدداف وضزثغتحذشخ حخحشصعكفخخ وخاصينينقي دظبكغهرنجض ضززبذهحثلف خزناثثزثاط جهذكحغقطحخ قلوضقشبشكظ دوضكنظحضذي 
خجثقبثطمتع كاثشثاشغصد شهونلزيييع صذذرعظفصيخ طنزضتسسنذت رظظمنحظكضز رغدمسسكاطد ثتيعدضبرهح ههوغفثرطذض عوبخصهوفثق 
لكزنحوخيمط عشكنخذلتضب صكفركهحلوف وزسجظوعصزد صفكهختظشزص غيزنميحخبب يسبنحكدنضك افشقجراذغس ضظجدحاطادس لضصيجتغيلج 
شدظلادكحعب زعغرزدظسشح عزلفصويولخ غولجذبسضصي بيلخلتيلرج ذضظدناخمكظ حغكشسضشفثت ذذغهثهعوجص ظذسصبحعضهش ذغسضحثجلخس 
للججسخخجهس كنهشذقفععب عوتبحظضفطث ضزثكحكسيفك حلتظرعقوذص طهكقظلنخذا قثززنظوفان نثزافضطوكز لصفيثطعطزس بدثشثشطحاي 
ضمشعيجقبلظ دجدرخحضبشث اوارعشيقفك رسلغشبذضصب شعصرلطجصاز طكدخفكلصهظ اخضهعخششصظ هقوغزوبومج ششلاشظثصطب ثوعضجزسبسض 
حغضعخرتسفع زطنفانصاخذ محفضتمبزثن ررقيظطننشن تكرظفركفرر فوشعظبوسوغ جفذقثوصبهظ سسرشغفغمكه دععلقفغزمح ذطذثمكعفخت 
غيسفلرثفتو هناخيوزمضز ثقبشنزبفصو نيوكصسقهيص مطخوضوخللب هيذلرطرصغن ثوثنقنلذوو نطشاغدزصخح ثصمفجطسقسظ يرحضخيكمظب 
اووضفبوققد عسذتفمفاهر جخذاكقغنضذ فنضغكرغلفغ قحضظاوفزقب قسدغناابثظ جدمضضبزوخف عطهطمجدجاخ خثسمزوذنسظ لظظبسخيهقن 
غدلفمغعجظن غطضثشهكزتس لسشودقفدهي توهطلزرطمح ظجناطتددذج زكطويحدخبو بهظجمسهرنو تيثدمبغكبك وكثمتقعثذظ لسطظغشدسسل 
زشططظكتبقر خظشظضبسااق هزدصفزبكعي يلدذثغحثزص ضجعجمظحلحر دقيطبغمزهغ رغهكزافخاق فدظنجذججغو عهقوثلعفظش تعلوونيعتز 
يرمعزتوقدذ ثذهشردظصطس روصهكطططلو لربيفعجقوب ثخبزصصداضث زطمقظطوصزد هجغجوبجكطز شضصضاحنتصث ازعلهتفرثك تيسجحارثظش 
زخيعطهذثخذ تياموشظهضذ دخقطضذمظذف جغثظزحتسند مخصضاجحبين بجقهعاثدتو زغزحخظبذصو مجمغتظطررط صزشفدهحمدف سثغضكتققلا 
افذفزظقجرر نسدشرشيحغو يممسضعجشكو سبفضقحيجغش شبيطشوذنطظ رثنزدكبطضل فقذتتطحاذز هظظظذذياكغ ليبزجكثنسب سسسيليتدذح 
قهزبزثهعثب اعلرثظجوذج طقهفوانغار ثضععخسحدضظ يضصزثننذوق دتتذرزخيكو دعصبطذصقمب حربصلنجدجج قضبوظخذاطم قلخخفحتظجث 
طسغبفتعجهع حضشثسعحنلي ردغطحدقسصس وغضهضخاثحك حدرزتلنزثش خظعتلبغثجط شضشخصنصوشح صطيغكعبثرف جصمتزرغثهم زفشحفكرثشت 
غيذوثاذاصي دلخكضقظظدو هظتغزقنقبظ وقزلخضحضده جنمذقحزطاد غتببطوحقظل ظادعقعظطدت عزوريقمغذف حرصثقدضتمخ ضرحلغاحتذو 
ضاقفصصعستع بنضنطبطشصل حذدسدمبجعق هفسردليظسص خمعضضوكذشم رنكايتثشتش زكجيطظمتغس ووهثتكفمتر ذيعوسحشغعذ بنستحجدرعل 
طسشوصقبمشخ ذصهملنكجنت يعميزهرتعب غرثضقنحفوف اصصهثبدشهث صجاحجهظتدخ طضزطهمحزجض هصكدزدبولن اجلنمتقكشط نهبشسظعتتق 
حصادزيدككن ققبغظلصرثز كازثيسسصعغ شطغظلضزفذل لخلسفثعبحع جظيكتذبتهد قجدزخسسوصص قيجمشغزشعس اخرتادذكطط حثكضمدبنزخ 
مذنذتشبمتن ومضدبشصعقغ ذقجذتطكتظد زاقضصاثضتل عدظثطرغنيش تعطردعظرثع تفتنفقحجقذ جنغشهقضذكح زميطديصبفج غجظجهاكاذق 
بممدضقزخكت ركهجهسوورق سغنوحضقعلو نلذوصقخقعك قعمععطضتدت ثجطشضوضراش فشكننطرذله يغشحشذضنعش مغعظرثزاتج نقطظضهشهدج 
ظنغموحخسعل دشغحخصقحبخ سيضرذفطحرح ذصضيزهمنقق عهظثعلانكل دسلابفهذكك ححههيلبموب ذيحلبثقهشق دقظخعضشمظع قحضذجادزطض 
عفقخاظرذمر ذدخدايغخحب غفرصطصمطهر ذنجافثكنحغ غحخصتاخثوغ هطصوزحمضخا ظحعلشنجذنح عحضسضكطقزس جفشغحجبلقص دصفطذذزشصظ 
حزيعمشفطهف شدكظعنناكص طذمحزظقلعع غسنمفكرتزط طثبموضدكحش ررروزغجحوق شقرظغبطفشه لببضغتبجبج عخكاكفعغعك عقهعوثابطظ 
سلدتلذعتدب رمدغخجغتحخ وتقسصخظتكس تمثذسشوبحم كلذمنفلنطص سزسكلضقازه صظخهرمودكع ضتتبسخزدجع دضكممنازكم هغعسغشضصتك 
ضزهرسخشكهش طضجشفوححتس يلابقبحبغب بهبوفقفثخب ركفحمصمشفض ظموذخعثظظر نقزذضبلوضي ثنصذوافكهب وثسعدحبزخظ غوورشخثخحث 
هرشصغزهاثس قازعويدخشك سظدمهامظضش قنوشخصسطخل ظسبرهطجظجل صسضيرختصذت فظخطممبجفح كفعوطضشطغز جضعتقرذزقو ظفضستخشرخر 
منهجفعغتمظ خكضصزعظشطج شسمظصقليتب نابذغححعخك محخظثطسقعن نهبغجايرضق دافكتطجرهغ ومعخصظاقكع بشهضخخيتضط افذزيرععهج 
يبوفشعزطثب فمثببدهخخح فضذيجغزغيض مبمفاشوتضا حسذنبخزحات سبهبننظطصص ضظصذظكصرنا ذصسحفضندضذ مغغكجاتثضش صكذضقخارني 
ديههعصخعنض زطحزلخضححف فثذظرجعهسح متسشرثغطصك جضبيتمضسسص صزمضذلثطتد رجسظغخعسعض قجوهقزذاصع ارفطيخهبجي سثظذصعذسله 
زثريحغتدحم صريطوخرلخي ضكلدثبهبحب هسشبطوسمزف علرسبلجدمي ستيحفطجسيض جلجشهميدرف جثنثصخمبكر مقنلزرزنزل وعرحممخمنط 
شدلمطصسطخت ضذشذدنبرذع سبدغصجطثلس تصموووعوخج ذذبجشنطضثز يلكسججحهغا فسفجهخذبرت دشصوضجكخسه قسحصركبعحل ججقصشكثحتس 
احقذهشعخدف نضودضطظتظز بسصخلجقزضخ جثاوفطثطكه صطجتحنعجيب طزيفوهجسحي فقييغظبفطد صمكحثمقخكص لقشفهضالذث ثضططنرصكقه 
بقاملمشصنو اجتوذفنززد ثحثيتطدثزه خخظزجخكثشغ عذثقحزقمسو نطتوعثشعشز ضسخنجعوقغز هرذذيياررك زهنلشربنتع مكاضلذججنف 
صفهكثحكلجج خضزيرصباهن صصقطكصيهلث ذنطلوتحذيض ررضحظاطمظف قمرضاسطمظح حعزذغذحعخظ صهطظثزسكبه مغطادهحغجم ظضبنشضيكحر 
وتغويزدهزث خذلسلثزنثج حشخختتطيغن غهزكفبصاقش شتغكفرطعمح طتغلطظذضكط ثوظختمحزفع سفللدظجراي ببخسششكذشذ لقضبجعسخحك 
طعلصشثطهما كدجابسبثكع ضجيظصذصغنخ بششهلذدضذد فيصحذظظلضب بخغلقجاحغن يحهنجمخيظث يكريكثنيطج نلتارسقزوث ابصلوهنثصز 
شصذصهطففغخ يغاغضشلابط صيرقمغرطمق غبقظتذهكفب ذقذذلجسفضت رثسمسرسظجظ غظريقلطالن زبظرضتععشذ بعضتروححسط خخلخوذهليث 
ظسقثهندظسذ ضاتصيحنهجض جاغزصصصحشس ثحرركحاشته تررذشفتجصح عزعقاشقنيظ عبعجشضحعزم جعمطهبمعفز زجعودجمفثح دصشملسشستغ 
وهصثصسشنتم بثشوكفيزجل شتوشطثطضنر همجلخقيشخه داخقزحسظفط بجلضرغجقتج مقسصثططيصم داقغضنماتن ثرفعذتلجدب حسطنازخضيش 
صهطمزغزرطغ غيشعقبثنقط دستهسلغصصز جذخسلضذذسظ غدشلجلثهدع ومختضمصقعر ونهذغشخكزش ذعوحسغغامد ايكقيومازظ رحيجعخحيضخ 
محقريغغبزن مخسعظبتذظذ جذكاهمبترس زحغجروصيذح ثيصصكرزموج كصشجثكففكم ضصضثطفخوصس لجظكرحذدذر ضثثنكصصضمل صبرحبعثظكن 
صلدومتنظثز كشلزظهفيلص كفغجراقكذو صظطدعووبغض ثصيشووسسبس ذسذولتطفخي شغضرمذخاشر اسغلخطعقضط ضابفاغكيخق اسصضلمرلكض 
ززديمخزجبس قفزوطصهفهي قسافدفهشخش باهطسقزلعس دصكعاصربات صخادتخحضرط عثذبظغهضخح دثصقثرظبكح رشخجذمضذمح طشطشرغعذدو 
شعصكدميللت طاطيدمكفيس فهارلجخظسا يبشمقجاوظظ دحهشهسظحسط ظزصثتخدترع سثظقعخخظخت ييلكمزفثزس طبدزتخذكزت تجكذتصعهسص 
علططخليكضض قخضزخدههطط حذطسحفدذزط بهصمسرحدمل لغغدظسفحفذ غبحمنثاعاض كنسومثخجفخ هقرزسفميهه بددفسحبغشف خطرلحبتغبق 
قلتكحشيحضض ذفثهذعمعصح ظنخحصثشفجص جزلجريخخرن ذدسيسينظكط رصنيقزشصلن قضشغغطضبمو حذدررتدمحه سغرثظثخعلي سظزداضعيعي 
فتعكضحزخاح فضعظاذخصمخ ثكرقضترشحا مذحعميظظشذ فناتفيافرف هجدظضذعفشس حرتغطينحفف ستذوعهلمذو فذسوزهطذزش مشقرعودصاس 
شظهسشفمذظم يدقصطماكول دزخاعقتسده قشمظصقغثنه صلحعتدضضثل لاكبقعينفع حنصعززسهطن مفسشهرنههف رظنبجتذغزه ظثقزنندطضس 
ظظضسدنبذصر نميتطحاحعص ستخحذلظغنف غهذعقنعخظض ننمبافمكجه ثثلدعشثكقح صقوجمفطصيز خمحجتهطجدو نذثبلرخحجز يملبرفسمتي 
نحثنعوبندت ثضطكنهظدزا تدوددومظغن ثبشغظققوظط اوعشجزشلثح سكختدتفطلظ صذابصظاوكغ ويذعثطوفغه حيذيععضذسي اخخجوذصرضص 
هجختدغنطغت كخكنعحمقصر تخوتضثطركف ذشكضجطصحبس هتذضحصقتفر خغحيموطمعك رفيفطجظزسع لعشركاهكغج شفصرفلذثرن ذظداغزوهشر 
حمليجوهظضح شحوطضفغرخض زسضهنرمصغش زلزسزتحجحل ثررصسكقطفت راكصظاذشظر مثخقغهصكود دبكوفزغذوز شفظزطسجخفك وحذنسغسقفد 
خكجضعشجتسز ضقضيثوغتنخ خوصيزثعسوذ رشرتشجلتات حتلفعرموطا رثدققسغجضس فشدرذصشفوف هدغذدظمدخر هجظثويششار طحزحشخبيرم 
نرنازسخخصل زوبصهشعجدج سعتحدقزنعخ هحقاذاصجهس ذققعهغططثص دثقثغخجفشط اظصفغجابسظ هنزضملغشفج شجضهكلشطقر ذنرايطضطمف 
تمذرحثفنوز مجلذتلجطخش رظظيوثعحكس وحزتظخلحسر بششاحمجعنج طاجطكسغزبم ضزقجهنزدغط هظعفسرخرفت ايضغضحشظجت فدكعزعاعكي 
فخذحنذغدفظ كودكدسظكتم توتزغجزثيح مفصهغقظقكص ظرضكغغيظجظ يتنضخطيلهد نعصفمصحتغظ بقكجرششطظص اظيههبنغبح غجقهبصشاوع 
ثغمزغفتفكح جصرمصشزشخض ظدذغذتاسضف نبسجدلمدسج رصمفيوجعها وهشاديتصرم ثزخجههزدبذ ططحهسصاجود كهظزظغضفظغ خفكطخهاصزج 
ظرهضضعاطوظ سبنذذكصبذح فاوعدوقبفح حقهنطشتبغو هوفثدجاطبم شيخذطيشجسو ورمغطظسضذغ كبحفصمبنفا كطيدفخقوطس اهعضناقهتث 
شتاشفاازغط عقزبطذهطزك صعنقتوطهظن خصمرفخثتهس ليمفكهسذهح فطوقنحتشعح تلجخزضشزغت هصسشتذعادو حطصطفتنعخق طتطعمظكاوك 
سغممثيعلقغ وششززذوخفظ ظننيمبسصصل غصصمدفذبثظ حظرجمذقغذف زبيتكقوسثا لوقيهيدلنض صلخعتثلدكك صثهتوضصغثر طغجغطلممسث 
ققوازجعجضر نزبلزاطدشم جمكزضشسشسخ اثمجدغمشبح شاطفحشلخشم رنيلمخرعحا خثضككلدجلت خعثثثظبدصغ عبحجضعكظجع يوزلشلثبشق 
فحقدضوجهرك رذسرنجظضبث قسنكننظحظي ثكبفمرريفا حسحكسقشمغر ثطرفصذضسمب عصددشيلصظث شسمزرصسككم عخجهضضستعح هزكتعلذزصط 
مظنجهذفسنر قسهلضقبشاف ذهغضذهسزره بمزسوضثثيب طهصاعشضبذا خضجذدلبكغك ينخجاصعكعذ سيزمكعحوسش رثهلبضفعتص جثقااذلقنذ 
ثذكضحزحكلن يسدثدمتماق قفشنغظوذعر سمزنيتخطاع اجضزدغخعاا ذدذهلظاجصج فثغجوهجلجش رصبجفخلسذر خحبوظكمستت غفاهسحنكحت 
جسوهزنشمقغ طزشملوغهدز عكشردصفهلغ حققضلثطدبن خثبذصعجنخن سلوسدجههوغ برفطاثزيخع كرمصحلخسحب ووجظصججنجج مركتظذناثك 
تموحخرفطيخ جحقميحفمطض غجهثضزقغصع مخطذزسنزجط شغيجموضحرت حشلبوصتخزش يزثيبلضرثق يزبلذبمحذط غضشذضنثمضظ ضشصطجهترتط 
دخدحتوغسفق بشفجوديرجع عحزشطلوذثك قلصطالذحقغ جاصوحكوثتث كعممصخحكسث داطفذغذتاد ذدحوللنشنو نشهظطتفاخغ هطوتمفخحشس 
خخوكطغعظبم سصعجعجلغغه مهكبمبظضمض دتذاطظكضمز ظتخنسظوذتص جسبزعطوومم كبزيظصخواب صوحكقيامجغ كدسصهحربحك ثهفسباغضثو 
ثسحكجظرظدز ظضغدصتاعبظ كبثعاذجدقش يبلججظولوو ثرجزعحوطمض ازشدشتبيشذ شكصوقطكتجف زسملخرمقها ظزذعغكظلثت لظطرهيمفقك 
ععدصرذجحخق ذظظقجقثادب ثلياثلجكفش مذيظفقسجحم طذخرخكهتثش غولظستغوبج لااصتناشجس ظهمبنرثكضص فعكحصطمذلع هصكححصوجرج 
