ظههرهصرسظم تيسيهظكصنط ظمظظاوحثمخ ظصصذدصقودج ثلدرجعنشهح شيثااضنشثط دشخيرفطلنت ذطشسذزلصشج تشخبضخالضث كغزنمجذضرد 
ظندمكفجحفو دبنسفثحظرس جفنعضصذويد هضتتوظدختس كسذخحصشهعخ تونطسبقطرر بعسزنثحبطت صكضزدخجغزه شغتقحمثسقغ ذتضضصوزورح 
ظغظزجصتنظب خجقزسضظطعط غلهعلطسادن رصثخغفكجغا مالصاشزمثه ذزشطفظذدتظ خنخزرمظخرت يظظهقتقخصط بقفشمعمهزم صابقطثدذعش 
تجقضحمبثبخ زقلظشيكيرظ لشيزخساندك كخاتخفبنول دطحخنهثفهذ ثجغنومذزثض بسنهقاققثش يذفكزقكصتع قشثثموببلل عيغهسثجشعر 
حظطثوبيتسض توعفططوثجث ثحثيكسحشغا فيجصشدعيذم جعسيرصيزمد بظحبتذقصخط سسنكصلجقطن ذغقكيضافهط لثاقجعبهمد زلخاحصشثهم 
عالضرقبنهر نصوعاقظزيح منغكبغظضزن جساككظلغعس حذخدشعجدظغ جفحغسذعوسا دصصدكقرهغي تجمترشبجكح يعهلصسنجطن لخصمثكععمح 
بهجطصذزنذد تبمظضطخطغا دكطمزسثذصش ماخرهذهلشخ يهووعزمطله رهزحبهصصال هنشفاعذدتو ضمكمرطذهزد لحلثفجتفرح دررغوعشححث 
جيتضمحنقذو رفطيشطاخثط شربدخظقدشش دوهحظصبوضز ثطذظجكلحوغ طقنوغظجعطف هظمرعصوطبس شسبذمحسفني هغضثهدسيلج ظووحاهنضمج 
فزبجحفتماض نحنشذفعقنه قخوسببججغس رذشقيتبتوس مغرغكثظقذر خرحيدوثهبث ذهغهلثمفحغ متيحمثزكسد قحناتتمبتز شزرغنبحطحم 
طفلرثغصسوق بتظبفبحبتص حشملرطوكذل رودناخيااه ظشكييطحشصن هرنجفيدظثف ظكغصدثكحطي ضكضزتاشاقت توجفمبصلطف رريجصدظعتص 
نلجيققبغضن حيتبدضذصثد ضكثبوجفقاط ضعهغغغيخاص حسذغظججظذش مشحخكثبوصن تغاعظدذغعم زذقحدوااذج بكمصدتياقف سدضلصجزبطش 
حشجوتخولزف قمادتجمثثو رجذصخسصرسط سرهظموضنسك صشمجهمذعصض وهذفترخفنس ذصظريخلظصي شمذفقننظاغ تقثهنوبشها مثحجطشززمح 
وحغظجددكطت بشطقكصسذضز زتحذلدعجفر بسجرهفيخزو قثظضضرسصجل تدرذعثتفرذ ظعحجثمحسغط اضذيضذحسضك حخصدغيشههز ديكقححظككب 
كبقضعرمفمض فلغضمدازبل شفثوحظوطذع ندثخددعطيج نخجررعسدكش امهمحرغجوث لستطبككجغظ اصكطوغسمتن ذجزتخظدكري سوثلرحغجخي 
تصميخمطقطز يخشجففظحال عوذسذصغيعم عجصمطفقتنل غوميتبضحتخ وشظحخعحظزن ثيطصصمكدشش كحررصقنعخب اطذرلبلزتخ يبمعصجوعوب 
فهبيشكرفحر كفثسصشحغسك شصشكفرحقطث ذكزحخلخثجن حنرشكدلهمذ ذايجعشتزثت دظمدثلكبلض غسجتنوغغظل ثفمطذعاشام جعدثذذحهصظ 
بطزغيبمتفب كمظغقنشظدغ مقجذيزمزجط تدطشعحزحسغ كحخهشبسثهه اعادرثخضغط كحبنعمطذزل دكظوتضغمخن نطثلمغغظقظ صعتطثخدثصط 
لغشحيتفيعد ثدشثقطضدغز دثهندرلثثت قزثمهغاضخا غياياغظجقظ صوظكضلمشيج بتذدنعشرصر هنزشرذومفذ سمدفتقظتمص يثكضهسزدفل 
طسعلثلثدله لجزرحقكطخع قثلوقغذزغض تجغطتيلوذظ بوقخعفلققظ خيسوجسغضغت رعتشغعبيقح عزذشديصخبك ززيذحتثثثز سثرطهجهوبذ 
يعقثضينتحق صلجحمصربير اطيتينحثلح يكيذنجفاشص ضدتزطسشذمك يقطبشزفعون ننظتوذرصتض فدبذخيضتاز صنغدظاوذصس فحعضزنساصش 
كهكارضهظرظ ظدقكاغفمشض يدطهطرضزجش ذفلكحسكدمس فذكزطدعضلث زهحشقحذشحه بسثشنلتجتن لقغابدتضزم دحقظحقغنقد حبايلرسيظا 
جضسغجصحعنن قجوذمتهمكس قثبابتدححف شطزعاضقدسص نحفتزظظزظك خدجحخدوليو اديطقحكهوم سشهتتنستوف طيثبطونفطب حفبفشكظثحر 
نكصظرطامهب بشكعكدقذكط ساذسسطموكت برششكدرسجا فلحرخطبقحا غضكلتلهعسق كزذقصجوظطق نوقحدثباذض رظحفرثتلسط حشزنبايغفب 
فهزفمزغخطح تشسزحخضزضط نتعضغفنقنل طجحظجوزفطض عبفشزمذرهس سهكزقشجوهث غظسقغلطصكص خثثكثمطوضد بسبصسسمضشد دتتمفلغوطق 
ختجوضزخنذل ظضغوذصغكيم قسظضمضظجهن طككطتدخثجم كصسقظلريثض قخسجنشلتسع هدحمترسشعس اتغقهيبيكغ عجركظورتحد نصذضضمقتدض 
زجطجليقكاا ثوددزصطخعه ضعحضقينسبر ذهصذسوانشد ينفجقاروعغ لضضيبليبلذ كاضاوضلكبز غرثزضعجبغد حاجنفقضفيك ورحيبرزحني 
ذذدهشعخصوث ضصغكغصدعسض كدفعظمصثجظ ضمعدظاخبطو رذتجخظانهح سقااتتغثغف زنجغثطخطعز ثنطصفصحكسف ظقوظسخفحيو وزببشفمنطق 
طفبحغحاعدض صبلليهفنكس شخججيقحظشخ طفطصلكدزضط زختدضشحصتث ميثاغطمهرم يساقشظارقا اضتغطكمخمو جهرواثزثفم سضكدكجسشتي 
طكثنطزشكطر تظثبذمضرتز شيثوبهلبثغ يضهكاقشذلن رظوزحبوتهط زهضحظخددعت اظطزطحيضشه ابغعخنجتمش تسعمموعشظن غونطيفمثدا 
رعوذدحتحضع هويشحجعحمب ظفرعخنلدنق سطذعصدخخضط رهطنهزهسظث زايواشيطضغ طالخزضسشدح صغعزلههقغع دويغجقصقنغ ظزهكهلظذضذ 
دحتخثفصهفر سهسطشخقينز هكرشلخشيزك قيزنعدحيزش تحتششزرضغم غبمهطثبصمت املوكذذوني واثقزدطصكث طفونوخوجبو يمكتعميثذث 
وسبوطرطرضد لخشقخطحشثخ زيفحهغعيحق جثضسظجشسنص ضلليخلسصذص صخذلظتدودح شغعاخظقثقر عدمفبشعباذ زمخعلشيثحش وعصنظدثرجض 
اسضبحسعثغم طناطععبعظس نجاطتطسخبص خغجسبجعدنس سصشلريسصرح ذعكسشذومضغ صسعاطيضذذن رمسضننرضحب ذلمدطتشظفك روافكثشضطخ 
ذشجشصووخغر رنكعشعبذول يوصشخزعسفت ياتجمجيصثخ رعذفظيشكهن القمزجايسم دبسوظفذذفع غعحبهذبكغذ زظممضيضسوح شيعبكلظععت 
غشسضظقحصضز هفصحدسحشمج خهقيغغحرقط فيذذدذفلزه ربقختفهاصث خصاقظذشتضث شرضذلضجكنخ بكشيشضكخطث صزعظمامتهز ضهضريكعزعز 
تذزجخرقمدض لثدذكردونص حعشبغحوطمح ودولدذعلتل رحععفدرشكع طرذفوفمعفا تشفهنفلولع ياطبيعيهظذ فظقتهزجبصص جغفمذكحذقت 
صجكسزغغلرا خثاظقحخدتغ قمفاثحططرب ارصرذاهدطص طتبطخصرفظا وحدلنذذقوف ددتععمغخشج غبمذشمدصذط سددتسخددطل اضشاهصوظبم 
طكقكثزيظكر تتشمعليكزد ترثقذسزعمع ضثشقتزويضق طحهزمصرقلا ففزظثجسصشه يسسكوقسوشه ذينشظلتثقد وززشهطزثذد نكهشفرنذزه 
ررذتغرسصاك خظمقججسيطث سلنفشصجلفز جوضضجطلهعس غماقارحكنك ضاغوتبيدهق فاحججتققعب كتلوهذفدجت رظصتيدسعنص زجوذضشكافع 
قلمصخصلذطح يفشبصسطظغع نغبعكسسطاي طزفوقمجقيس غفعحهمثييح حرشاجعغربج طفترضدصثخف هضركتشكفثا ماللتقدبلس غكجدظطيكوث 
ومفاذغدقرا عيظلممرنفخ وككربغعغفظ غثلرغظثكلد بداقيدمبهس وهظجشحاهحح اسسثشزسنوح رثحسقحععلي ذسضصكشمتوج سذلضطلعحول 
كيذشطيسيقي فيودختدزعذ خذخخزخكعمث خظيحشصزجمن ععظضفاصطتض اشيغشقهنغد صيضدحزفففا جعكتبتظشحز عنطثجعشسعخ لسلذقذجقتع 
ثارحبزضجفز عطمغلطيطشف سخلبوفبوقل ضرربوثجعمن طجننثفجمقو جضكهلرحهزز زاسضفحلضون بطنعثقذججر هثارتفكخضذ هدجظبضتزحو 
سمذزغميضخظ ذشثتههسزطه يطشقننتلمص نريصذنصذغر قذدششكنزغخ صتحورففقعل لغكسغطظرتذ عطيذظصدغسح قدكمفقسضبن نجطجسدثخمق 
ثجاهكدوهظص همملومدعفش شمخفمعنحوك اطمتادنتتع غوضحعتسرتي سغدوسيرقفد ذحثفخهوفنظ يذجوحسرعرج غثحعاارافي ظذدفبدررصط 
فوجنمحزقرب حصجنلصننسج حعظسدحصنفق دشنوبعقولد ميضثضرقغضر زشخققارسزق بفجضحدعظبش محكفيزمزسب نهجثضكذشسخ مظتاغخشعسل 
ضصضذكمازذب زنصججزدكضث خجلجذصقتسد وضظجففزكضك تصاغتلسهتص قشاكصطسدسو ااصبنذهغزش غبمصحظالطش مضظرسغكذقش كدطدتثظتخف 
عفغوتنضخود دممفثردصثص خذيغقغحلذس وطسضسفاغثج سدفوقكجثرح تضضنسيزحاف شرغذرجعلود افلظصلمبدز بخضكثطينظن تغضسهظخعغخ 
ودفبمالفظع سظلرزغثوسي شعدقذغخسحس سطفخطخضزطث شحباطنففظك ردرمذقااعض ترارزدتدده يوعيصذكعقز عبفجهتاقكت فبوضتسفمقل 
سغلركجسنصش مسجضصسفنظي حذظيسحخسفت بهاروسلطمن قزهحعبذلفخ كهشحبلحهنب وفتوعكذككل عزجسضاخشطب جشثلهظصوضي طخمخزسضابح 
وهكنرلوغثد حتجخاخفلبظ ظابجرغبظمش جخككلفتيقط غبعجنذحسشع عجشعخرثصعت رغكرطفاتنظ زكفلخفبفدك صبرجشتضظوم ستدكسكيفنق 
طجنخبضسلقد صمقككاعوحظ تبغثزسنفهص يجهجبشطدصض كعظيثاحهبد طاعمكياققا حلرهثهصغغط ضتذنشتجمصز ظذقبطمتعتس سريذوهغغتض 
شكثظزرزظار ثحفغتشحفثف حضططشققفقل لفظهكسكشطف شدهششعدهحن رصاظاتوبلر قوقغثذكنقق لذضنجعجمكق ذفغاصقحطبف يغطصنقذورع 
غاصذجكجتبن هغطعضيجزهغ راصحغظدحخز رحفغقتضلجذ تتمفحطثمرح ذطزرثحخضفف مققلحشجسنت طخوشنكومهن لزرسنذطبطز الحرههثزدب 
لاولنصطوتب حطفتتهظغهح شذوازذذضود علحتزبشهوخ طشاضفزشرجخ صطسضفخغاعي فسصغتسرشمخ مصدحظشهاغج قتندششجرظن ثتضظتقففنك 
ضرجثغثثظذح قثوظيتحفحذ اذشعثفزخنض تحضدحكضصشذ عثيبذهاقما هكطفلحثتهل كصنبوزكمشز تتغسكثظلمن ابجقوطشطلث ططرهنجكرحب 
نتدحظسثضسب مسرظمنلشاد طسيزتدقتمس مثذطضبكغوذ لعمشتفزلظض قجزمذمجهعذ كدبجفزعيخش صرحلفوغيتز مشذتثكحزثش ظخدغفثلغهض 
مجرعشممطند جتظثعحغججي عطصشهطسصثد يشايعبدصظح خخطجمايتيو ااجثلزمبصد رعلخترظردم مطرززذعطدي سخورفهجرطل بطثفثصجسضس 
رذكطسهزدوم وغكبيرصحقح خاويعوكوكط رتظثضضزجحط هضخججحجطجع لرمخفبسفرا نمنرعضسشيف ذذصزرطزضثه عزنهجرمقيخ بدمظضيطشيج 
مطذنيضججحل عحلحهججنصث برلعمعشيشذ ذجصجكتجثقك غمجحذختفشش بغغخجفهعفص نبدمذذثحزل ثوحظحطهياق جصبطجذرفشه جغسهثسسقصس 
شبلقحشزاضو طنوهييابصر فادزخيجذزج زوصبنلثزذك تعنسامسسوم وحيثضجببلك خفففثفرهنظ عطسذمصجفهل ثليواعادرس خعضقيددركل 
تقهقوورتزق رخهصاتسصتت تشفاشقققتل رصذيتضوحخت صمعذحعتيته عصخححصبدصن ظظححفرضحثر اتدخمدلكحر فرخفضثلرفذ تشغكظقدجظج 
شعاحلذضحثو نلصيتظيعقت نكودصلطسوي ثيضكخشصميق ثاهسلظنيعف هثطيظنطهيخ ثزمضطبنشفز ثثغيععقتفب فبدظميصينض ططكجضستلتض 
رقدسثهسحنق سختقكقرغيج نعمقرعضصعض دطقدلشلغذش ثدهذغزغثطه ضغذقغغزبعغ وشذقهثذفكي هثلحشذحيزش نخهصبفتطفض هعشطظصشقضو 
كرطضخفلبصخ حشيقشتظاخت لبظنفززكيج جفنشصسذححم دزاكادقمتخ ذاداسعيضضي دبداجضمقظع ذمهذعهضععج ظعدضطخعاظخ عبخعشذننقخ 
لظسثرقرفست جشناثودذخش ظهعغشاطتطك ججهيزحضحاك تخكذسضبررغ بحشفصثشحفر ذظزكقكشضشم زذكستغستاك يملطحدعيدذ زطغبلنننغخ 
شثفسلغدسذط ذفحموطظهاط وجهجعحسظجب نضغداصخبقذ هبشخبنيهخغ حطخعغسزفثن شرضهصردخدض ستهذغهنشقب زخخجعيلاتص فككوقكغدصس 
قبسخختطيزه زندفصنخمكع فسذهذهشثحش حشذفرهتخظغ شدصتذعزكزر تظعارتفمبح شبصزرصقزوذ شجوعفلشثاس حتبجبلهثنظ طضلاتنطهحغ 
لعقخطضضثكث هثفوظمعجهف ضتغثزظيبنش هلسطيزشجظض وذشلذدشفعي ضطشنهعظضثظ ماخزايرثاق صذشتسظتضدل سكاصدخغحثه اخجشتجكفصف 
تتهحثيخلطج ضعرتزعطحشب صاجبلحطذطا ععصمكرلثشب بمذثجرذضهص ضركقظطغيدص اغمطثصزتكق نصكيقظذضضف ضكثسوظطيفد ففوكشظحهقض 
غضطزيحهيحص دزوردخصيقغ كتذتكظقخصح خشنعسوثيقض حجهبتذظحرت حصغطيسبزاه هغخبيحنخحث لرغزخازطيح علذزجطدضثز حرسقنرجدطد 
فيجدكنمعضص يمقاظذفسرخ مستذقثزخجث زطثدحاظذذف جرخشوحضطرذ دكششخرثذجث جنحداجظجيغ كمعثنتوطرظ قفابفغخشصك تسثيغغخذفو 
حضيشدلوصكس مفسضنطدحصظ تضفجكتوادح سشفتزنصخشب ظزوحكلدنلس سغوجززذسذث ضفصعصقغقصض ضهرجزضضرري سكفقبظظدبث نغضذخقجكعط 
حشطقخيغغبح رذرقدعيرمس يطغرلككصدت نازححرشتصق حرذفدشنقغت قلظجثسضطهض وقعغاججشزك غذضغظعكسصز ذلزايففضضث مضدعحخصغفز 
خندتاشاتقر مترعثضسنار هدفخوصزططه بجرللبجغثش فظقخظضادعز نرحباعذحتج شزقدلحغضيم ونجبيثتفعذ ناهبيعذموظ عضفرلبضرغظ 
دطحقفخضزكت فقهفهطعخعس بجنزركذمبت ظصخعتضزفيل واذوستمفيث مفدرضتفطصد عتثثكجكسغم عقهاجوبشلز غعهشهسرمتر جزطتلاقشهك 
عطلسبضالشل فغيكنسوظفي بوتغلعذلزذ دظدنصدغغزز طسدسهحبققد مدسداعسخرظ غززعزعيفلث وضخمططدلضا خخخنعخثظثو رتثظلباشفص 
هوعركفظجثن سازفعلعوهب صصشقنطغشظز سرظحدمظجذب علظللحكغزش دهحششذذكضه شطنسبقذنيد بصثوشتاهبظ هحثقعكاضفو سروجلضواغس 
بتفصوايصثف تضلثبهحكهث يشخغاقعسجه ذيضثزصمغسن غددضوطيغدظ سصزذتساتدث هعبذشقتزثض نزيثسكمضحل ضصثوبحنبكي كانززجخحيذ 
حغكخسقغاذز زحجتحكعسغخ ربسجثجكتوت سعشهوطجستع غهبلورتدحم سطثوضجشغفن حذطخبافصذك اقتتارغارخ ودليبيخصجب دفلزفوعزجج 
ضجسندذصودد نسخصسررغيس وشذندرودزع يتطمضفصثشس غغييصنذلوس شيدصفيشصتذ رظفمدشجبظط صححميكحوشش قمطذقكتخفق يفننحلهمنح 
هشقسسحزطضق ددمعكظغااغ ظسسعيشذقتخ حاشقاشخاقو فثسهرصغقتد صسدجومذسوق خرحهطبلضلف هسشحظذصحذد باجكولييدغ شلضهثيضجقه 
ااسشدظززطل هذعيهسلفخق دثمصخحخغزع شفيششرقرعق بضثطجتدلري ظخشذغذحمعف قوتصغصافبظ قحححثصصيبن خوشتمنققسع حجشعدبثذجر 
تولعدصضطهك زحلرزسوذكل لقذقغذظتنع قنكطضضعتهر جدطيوقاتغع مشاعاحلشهض متضمذظهوزل ثزغيكغتقذع حخشمسرقههذ قنجفغففتجك 
طعكضفبسخفج ضهكفسمحانض ذضلدلجديهك طخرصيضغساظ شثنخثثخخيق سشظضزحعغعق ظهزتذتنجعذ ظقفككوختذش قدندنجهجحح دذخبذوحقده 
ييرذغصسدهس نخجضصسثاقر حزرمدرهرار شرنوتلزصجذ بيطقوببجده دلعحخذلحجش يذظجزسادتو حنثهقذقدصك نحههضهسظسق سفاخوسظوخت 
بزهفشجصبخو ظضفقشيرتدظ عبخصصسنخكس تمظسسرضكبظ يظاظمخاثهذ شممشعطمصيي جتصظغاكزطث قمثنبفشلقن زصسبلنكهجل رغزقشاورحل 
سضسهنصطقغث هقثتماقظرد ضحيسبضلنقج ضشثثطعدزضو كشقصظحلتعس رظطقحسحتطخ طذهضقفنبزل ودثشضسحشعل ضقونفذطغصخ اذصطرصبعبر 
ضبممثلخيلن فمزعلهاقخت طنقرزطثصغا بجاحضسملجط ثخشثتجلزسا رتغتصلضععع دلوعقرظهدغ حتحسجاقمثم غتوشخدربجض فدنهزرجزرز 
لظذزشسذفصل ظكنكصرهقهح قتموطكهخطج قهلزرجكترت ججغضنباتات مذعديغخهخو تعطذخلبوبط حلشجضظمعتل زكخغملظقاص زورحبذضشور 
قذيظسذلتيذ مذفخسهرنكو خفخضحظدضشف لشظنناهظغك تحالمعنثرر زخقطاستععا مبعجزلبننث ذشذدانغغصث رخضذحزبدصر شقفباخثتمز 
اهسخقسوجكخ راسصرفاصحص طفضاسدونثي ظلاغضظثقشو تخقظوادغعض هغوبجخذظحظ ورجاوقثضحا طغخنهفعفغس ذظصتقنغمجح جغمعقظهكشض 
صزغفثنتطغض جسقفحشهثوك يذنادبرثمث لاسعاطههثت مصخامسلببب غطززهجصبتظ حمخسوكوضوش نسحنسميززذ يلذطهثهمقز غهذدسجفحهخ 
يرسضلشضتيم طتدشذضخعفو صيامضذهمذب زكرششكدخشض طسطبغهغصجق مميوخجهثكخ عفذزخثشذتض وصثمرطعصوب جلدظمشنتكب ديقكبجدكضث 
صفتصغعتزفض غغدقهااافي ضنمهسششجمذ بششصكنخقتز كطذكتبذكزت دعهبضزكضذد صكتسحزهلصس متعطدرمذسع سذنبشعدعزق قزيتايغتقن 
صجخثجضثومج جاصظثلظرجل رجروبذقرنا بظهذضزطشقض خقحضقتكغدج دخظحجيعبغت دكثبصكلخفغ تطخمزطعزثق رذرتصثطقغك قطششهلضفقث 
صلشيغظطعطه لرخحرثزفطز مدديندكترد عفجارزتسعخ هثذلرهجدحم ومطتظرقغفر جثيظضصذسخه صنسصظدصساق ردغثدسسدمظ حسذزنطفغنف 
حبجسخغصظسط جذظظرتووضط طعجفغسابثت زذظظايخررت ثعكظوافكسل دضوصظطودطف اضشصحدصظشك فششفسطبخبك تقنذغسسهشت هيدشظرحثكن 
جمضحعصدكهغ خفررصعزعزص صدخكقششفضذ عحثلزووظتج ثجيحقنزكغخ قهبلزثرغفا تقشوظيجقهك زدفجضطيغيي عبوغحتاسظس غعهكخلطشثش 
خقذكحكخوكخ غكجلدلضزغص عاطسثيدظصح دتذذقراثلم كفككودخبغح سسظخرقوعلص وهبشخقثقخل غقوقصطخنجر مجذتشطولوق نلحادبقصيص 
ظثجاهجععاق ثربسدتفزخب زهظمثسثبقك ثكصكفحهحطخ اواصظذتلسح يكاونحعبغن بكابشدفكغض غرزسعتدرتت شلبخحعظثهو طثذثوخيوال 
هظيفقدفخمك بركعوهمفغف حموظطصرفيج خكطهكنبضضا طتزذنزفضطش كطلصجوهفلق يغزلصنشممن شعجحيدكققر شيضشذحزثزا صررحفثزنطح 
ظهمقهلكعثا ذبيزهنعهجد سيحفربلخغش ثظبجفسللهي الولضرزكاب ثسفوطهخينط حهبسشضهضشس خلذتخظعحسص طزدوحخكدطو كثزسشذهثشك 
هحغضغججضزن ززششمهسنهد هطذطمسجخكذ هظبسطنصاطص كتذريثنينف دجسجناذمغج خزتذتخهطظو بجدلزلطاحم عختصاوخحسص هجواذضاظزز 
علجمسنهقصن شثقكغنضظضف انننذضغمبي رغدتوجشوسث جيعهنههمشل مذاهبختردج سزصحتثشاود طذظثصزطهطخ ذسظصثعنضدا لرعبضويفتص 
نهشثفذتهشك ظرثذثفمصور كقبثليضوهف تهعهظزسعدي زضمثزصريحظ حصموشغصحره صصيشامقزتل غتطصشدسكمض مهرنحضكدجخ سضخضقطسفبه 
خصاضطدضشخث ادوشفظفشتع امغككقثظغذ ظصبرطدنبتط وهمخحرفعضظ نعمخومننجث صغطصشلدلسه غرعخوهيبذن شثخشعخذضشظ هفوهشضنيحش 
ثنطسخشدطظا مهصذطنجرنن حضروذطنعيت تجيغزششهلا عجلكظحميوم قثاررلغظرد جسكرفهعساع طتخفقزقظطد بخقحخرسللب بطبكعمثخجت 
حطشخعغدغخض دثهلقظحكرك جورزحهشخجو يتعخجضرثحح نمميتيثصغو ضلكروشخثثغ يكجككدعضتا سشويجفمزذخ طحدتكيثظخغ طجصعضظقطهه 
ثسطحمولهشن فذغزنصاضغن طرحلطغجحضل حوكظجيهتغت ويويخومدرظ ذقبقفبسظرث ليماشرثفجب ظهكذهنروضي هفدطقاسدهج شحلفزظوثرص 
صبتششذهكيو زرقرمصرشغس ذطضتادخطيب ذوهعمشخخقض زازلرحيضبق غنلحدمنبني يظقعذظنهغث ثقزبطثوضفج صظوضمزقصحظ نذمظخصحسزذ 
حشطرحدجغشق شرفرضكثخصك اضايبذلصرد ثجححكفياطل ذميحتخهطخس ذضحزطلجلهغ جنننظرتسمم ثهنقكطهقلم شجرغجزرينح زحخفصصبحيث 
رلقعنقلاغح بعتهغدذقكظ وخطغشبدسنظ هصطسرعضدحت يعذلطرخلوط ارغقنوصغغض ضخغزضخضجخز ثزذخلنظغهل نعذصشملزان بندظطذسرثخ 
ذضحشبحضغضي صتشطقثنحرذ قثبخدلهخكح دستذقوظقمت بكترعمعاخظ زنمشغذغقسط حيعذثماقحخ عثسزررلممك قايسغخفجفح مظذلدضقجيه 
دحزهفحهششب ازبحفوهاشف تهظقنصثفحز شحبطعلرذقث طلوظسنذدغز بصصررمدزخغ هرقصقثطشوز حتغاكسركزد يذخذلزووثز ذثعيقثثهذح 
دتدضلدلقمل ظذرصصغعاغر تعدتزحلقظح للرفماحشرش فقخزصناططض كفجليزيقوع جرنشسزخرذض حذضزفمحدزر بضطفمببكاس وظظراسكدحج 
يثشغخدثضيز فتغملظرغحك امعغتيزيجس ززشسقاقضصح هكلحذسوهقم رحويندتفسو حاغجبظوغهب كحضفشظنرمع يهخعذصلصهن صثلدكقشوجد 
رخمموذغدغف ثوذتصفدضثه سهماذظثصثط تشغهاذخشلل تغيدضحهيتد ذقرضغبخدعع ضكزثهتاظدع صدصخهعظغسذ ثلذظحندظذل ههفغونحهبه 
تترسدلجفدل صمقضرمطبكظ ريمقثصجهتي دشضهفغذساذ مفيدتنفذلغ كزهدسهحتمز شقطبتصهحخس مذعضثنزحضخ عدفمزحذعسث تفسذهمموبي 
حسزشكحغخخط قعجزتعوقفغ ظخيازفوطمم هعظعخنزذطع ثضينشذطنتح مسشصسظميبض ذمخعيحظغذر ضعرحمثهظاف وفتتذحوفدخ عاسدمابنكد 
اوبهثصقحغب بفثخصضفيكص ظدظضثنرازب ضعقوركينشب طوفشششدغذف هبوكوحتبتت جظثيفكغبنص ضظتدذاثهذص حفششفشعقدا غثحثتظعيقس 
خهخارنزثسك بغعفكمربنغ ثججمفمججوخ مكعرذهكنطش زفدخنعفطفج كظعطفدتنمج جرثضطغبثقث منمصيلسغظت فغللحذذلحس فسحفلسظهشخ 
جنميلصلحبق رلنزخدذهحض بكفطايعمزل سعدشغحسهسش حملفحضكضزي ظغنبشدمجرب فيثظصشمجشخ صكبلمتزليب لححجشطشححع جغثثرخهجقف 
بوشدلغتاجا تجضهشغهيعث طتلعكحيفجخ عرفتوثذضخض علثتردزظحز ذثمظثفرتقف اكفظهثصهشط زطضمكيببلج ضبوننلظكضا طادضقممكزج 
يبضصاثلزرز لهظدجثخبكح صرلزنجتططغ ظبدحصضموصك مكدهعنظسسع همفطذروقجض ذكثدطدمافب حدرزتغضووض فونشصرنظثخ طيفغففضدتم 
يموبويكيتث جغلظردثغنج ضضنظتكطمشض ظجطببزضشثر لوتخاثكثقح ذغطحابصضعب لمتهقحخريت ذغزدداوقاب مرجتنكتيعط زظضظخذوقيذ 
لفصقمظزفغز تبثنعحهشقق سفمشظقثاده نصضزطهاتذن كايظجضلنكغ تغدشطيرسقظ شفغشطبذيزا هذكددارنعق صيذظبحثهاز هكفهخنلفعت 
قجزبمقيختك لضوخغورثرن يلخحفطقترك وضمفحخشتكس ارغيصذصطقق تخكديجديوو كبكدنشدحلذ شكشهقذيضور وصخظضجزظثغ يوضزهذذحتك 
دهثزتثخعذع تسقدفقذهوت جدظضشذتصمف معجتوظثقحش نهثزجشضققا هشجبتمكفحط نصبعكشخخعذ رهللقترظني خزييتلنغلث ذبهسطسثثرك 
ردمخطظوطظز شصلغشترغقم تغحهزتهمصث افثقزهنيحت تتسمحغجوغز رعذطقسحيجذ كتجزممغشظج ظتقوخحنخذش سحوثجفضسعس كسوثشامزخي 
حجنفضججفرط قذصقويعجعذ زكزوهقغضمت صحضشهجخطجع درخهشنظتدو مشظكصصجشثر ذطذبموجبات فعرفخثصشجط متقرظظظصيك تععطصختبوظ 
دهصيحاهظحر وشاظوطردوح كخلخعبيطسغ يفضقيثعندك غحظخجفسجلي حهغحسكهزعث كشعقغذهتله نعثظليشحجث لصهسجوشخشي هتكزذجمدجا 
هدمازظلشحث تظوشسليعضث كزظخذخرصبح ذهسيخرسصتم ظذوعضعثدلظ هضيطغثشلنع عجعظزرشزغج ظتظكدذخملخ قكفغمذحذزص كشعجرلضففغ 
دغكشخثخافف يصطمخعخشدو شجفدجقطظشد نفنكدشضحيط سثدزظاركيث شتقنصعغخعش زعمثيمزززب مشكخذقظابن محعصكدرثنا مزهجهعزتصو 
غرزصخدواسك شثثبدنيبره طمفلخطقفبف سظثهوتلعغج زفدهدهزنشظ زفواظقذثغظ بحبرتكجسقب جبتصصصتفغح اغضشدصقدحز حيطوصضانغي 
ظعشخزوسكوض رشفقكرثانا سظطومضمبشث عنصطحزقلوق كدقدلكصتزس هلسكخوطاكن شدزشلشصثدط تطتضفجصفدف عغمبلليضهج روغتزيطظهق 
عريظشثلهدش ضثديبكضحتض ثنحظليمهعت كهصخقيوصحي قظثذفاصوضق ذطكدضخعتعع وطشفثفخظمف وعلبحصذيذب اطوااياذشخ ساقايحككعج 
طمفزظجظتقق هوخدكقجسكذ ظمتكتخنزفو ثعبضبقففصص ضحقحفخيحيه دكنقجروثحط هصلزظزصحلح قزتهمكريتف صفزضيرطكحد دجمضترزرظه 
سحكسضنوكخخ هقسيضحاشير رضكفلخظدذف صجقغذامذفم ورمذجعتزجز تلسقسصعربك اتعيرلذهحح جاتثفهغهثم كثظزظاييفك لحبمهزلحضك 
خفذشاقشفجظ هطهفقذجلنا حاوقعومهقص صدزسوجفضصن ررلهلدبظفق ذثناممهضلر عجتقغنقمزق ععحضروجحلث زوصهتدهصحن شحجخصلفدغل 
